# File Name: /Users/easosa/Desktop/09.10.2024 GEMM Inducible Myc_20240910_104642.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3U0BT8D
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block serial number: 2778322122567
# Run Start Date/Time: 2024-09-10 10:50:06 AM EDT
# Run End Data/Time: 2024-09-10 11:39:33 AM EDT
# Run Duration: 49 minutes 26 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-09-14 08:30:48 PM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-09-14 08:30:57 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"265","L1","FALSE","K71 cre+dox d0-3, d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.491931969140958","","","17.235025363066676","0.9462992045513563","17.141629601654852","0.08251682638625023","TRUE","13862.15352123108","TRUE","3","12"
"266","L2","FALSE","K71 cre+dox d0-3, d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6346111479009204","","","28.633446839348863","0.9394494074060213","28.65119842483716","0.09251825450112157","TRUE","35216.625512607425","TRUE","3","22"
"266","L2","FALSE","K71 cre+dox d0-3, d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4959614332524453","","","17.111270339299757","0.9381208173393559","17.141629601654852","0.08251682638625023","TRUE","13862.15352123108","TRUE","3","10"
"267","L3","FALSE","K71 cre+dox d0-3, d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.639797044914356","","","28.751306275134453","0.930298158535064","28.65119842483716","0.09251825450112157","TRUE","35216.625512607425","TRUE","3","22"
"267","L3","FALSE","K71 cre+dox d0-3, d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.499656415140989","","","17.078593102598127","0.9421019102886682","17.141629601654852","0.08251682638625023","TRUE","13862.15352123108","TRUE","3","11"
"289","M1","FALSE","NAC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","39"
"289","M1","FALSE","NAC","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4571904433986473","","","33.97268387144847","0.8995878161283591","33.81574437547109","0.2240439426950151","TRUE","13862.15352123108","TRUE","3","27"
"290","M2","FALSE","NAC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","1.7787000218331876","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","39"
"290","M2","FALSE","NAC","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4536031335543176","","","33.55916459348623","0.8917273184415637","33.81574437547109","0.2240439426950151","TRUE","13862.15352123108","TRUE","3","26"
"291","M3","FALSE","NAC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","39"
"291","M3","FALSE","NAC","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.428441114605626","","","33.91538466147857","0.895975288610209","33.81574437547109","0.2240439426950151","TRUE","13862.15352123108","TRUE","3","28"
"313","N1","FALSE","NTC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","39"
"313","N1","FALSE","NTC","GAPDH","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","13862.15352123108","TRUE","3","39"
"314","N2","FALSE","NTC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","22"
"314","N2","FALSE","NTC","GAPDH","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","13862.15352123108","TRUE","3","39"
"315","N3","FALSE","NTC","MYC","UNKNOWN","FAM","NFQ-MGB","NO_AMP","1.6543855538739336","","","UNDETERMINED","0.0","","","TRUE","35216.625512607425","TRUE","3","39"
"315","N3","FALSE","NTC","GAPDH","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","13862.15352123108","TRUE","3","39"
