# File Name: /shared/data/ui/current_run/01-15-2025-MX1-IFNa-IFNb-A549-Amel2_20250116_144056.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3N02Y17
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block Serial Number: 2778322122567
# Run Start Date/Time: 2025-01-16 04:41:55 PM EST
# Run End Date/Time: 2025-01-16 05:32:57 PM EST
# Run Duration: 51 minutes 1 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-16 05:33:25 PM EST
# Exported On: 2025-01-16 05:33:26 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"35","B11","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.381673336365952","","","28.659773722733043","0.9782157729481419","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","23"
"49","C1","false","Sample 3","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.624464566859384","","","31.62590722303839","0.9726663352981525","32.01915045949417","0.35149997383017867","true","30232.787256606887","true","3","26"
"49","C1","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3675250358311817","","","28.787745095656426","0.951232202592671","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"50","C2","false","Sample 3","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6390852418044344","","","32.3027896008965","0.9652846745855383","32.01915045949417","0.35149997383017867","true","30232.787256606887","true","3","26"
"50","C2","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.374739798440676","","","28.818968483938043","0.9611354048993304","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","21"
"51","C3","false","Sample 3","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6481525240699324","","","32.12875455454761","0.92868698003324","32.01915045949417","0.35149997383017867","true","30232.787256606887","true","3","26"
"51","C3","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3887852794779554","","","28.710005033763593","0.9009558192298879","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"53","C5","false","Sample 3","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","18886.582361434972","true","3","39"
"53","C5","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3516390038851154","","","28.767959641320118","0.9257864416338971","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"54","C6","false","Sample 3","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","1.7109920896445179","","","Undetermined","0.0","","","true","18886.582361434972","true","3","39"
"54","C6","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3582679836066207","","","29.020748965593473","0.9198708337266821","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"55","C7","false","Sample 3","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","18886.582361434972","true","3","39"
"55","C7","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3619866088149033","","","28.938644699518","0.9476151510732879","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"57","C9","false","Sample 3","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.56511404871129","","","33.24964237611292","0.9384685563085731","35.30939791304606","2.9129342155039195","true","10459.134441064032","true","3","29"
"57","C9","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.403226986153336","","","28.34808660263952","0.9525389385799774","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","19"
"58","C10","false","Sample 3","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.112381823744814","","","37.36915344997921","0.523153661673596","35.30939791304606","2.9129342155039195","true","10459.134441064032","true","3","28"
